ID,label
0,neutral
1,entailment
2,entailment
3,entailment
4,entailment
5,contradiction
6,contradiction
7,entailment
8,neutral
9,neutral
10,contradiction
11,entailment
12,contradiction
13,contradiction
14,contradiction
15,entailment
16,contradiction
17,neutral
18,contradiction
19,entailment
20,contradiction
21,entailment
22,entailment
23,contradiction
24,entailment
25,entailment
26,neutral
27,neutral
28,contradiction
29,contradiction
30,contradiction
31,entailment
32,contradiction
33,entailment
34,entailment
35,entailment
36,entailment
37,contradiction
38,neutral
39,contradiction
40,contradiction
41,neutral
42,contradiction
43,contradiction
44,neutral
45,entailment
46,entailment
47,entailment
48,contradiction
49,entailment
50,neutral
51,contradiction
52,contradiction
53,neutral
54,contradiction
55,entailment
56,entailment
57,contradiction
58,contradiction
59,contradiction
60,entailment
61,contradiction
62,contradiction
63,contradiction
64,neutral
65,entailment
66,neutral
67,entailment
68,entailment
69,neutral
70,neutral
71,neutral
72,contradiction
73,contradiction
74,neutral
75,contradiction
76,neutral
77,entailment
78,entailment
79,entailment
80,contradiction
81,neutral
82,contradiction
83,neutral
84,neutral
85,contradiction
86,entailment
87,entailment
88,neutral
89,contradiction
90,neutral
91,contradiction
92,contradiction
93,contradiction
94,entailment
95,entailment
96,contradiction
97,entailment
98,entailment
99,contradiction
100,contradiction
101,entailment
102,entailment
103,neutral
104,contradiction
105,contradiction
106,neutral
107,contradiction
108,neutral
109,entailment
110,contradiction
111,neutral
112,contradiction
113,neutral
114,contradiction
115,entailment
116,neutral
117,contradiction
118,contradiction
119,contradiction
120,contradiction
121,contradiction
122,entailment
123,contradiction
124,contradiction
125,neutral
126,neutral
127,entailment
128,neutral
129,contradiction
130,contradiction
131,entailment
132,neutral
133,entailment
134,entailment
135,contradiction
136,contradiction
137,entailment
138,neutral
139,entailment
140,contradiction
141,neutral
142,entailment
143,contradiction
144,contradiction
145,contradiction
146,entailment
147,entailment
148,neutral
149,contradiction
150,contradiction
151,entailment
152,neutral
153,entailment
154,neutral
155,contradiction
156,neutral
157,neutral
158,contradiction
159,contradiction
160,entailment
161,entailment
162,entailment
163,neutral
164,neutral
165,contradiction
166,entailment
167,contradiction
168,neutral
169,entailment
170,entailment
171,contradiction
172,neutral
173,neutral
174,entailment
175,contradiction
176,contradiction
177,entailment
178,contradiction
179,entailment
180,entailment
181,neutral
182,entailment
183,contradiction
184,entailment
185,neutral
186,contradiction
187,neutral
188,entailment
189,neutral
190,contradiction
191,entailment
192,neutral
193,contradiction
194,contradiction
195,contradiction
196,neutral
197,entailment
198,entailment
199,entailment
200,neutral
201,entailment
202,neutral
203,entailment
204,contradiction
205,contradiction
206,neutral
207,entailment
208,contradiction
209,neutral
210,neutral
211,contradiction
212,entailment
213,entailment
214,contradiction
215,contradiction
216,contradiction
217,entailment
218,contradiction
219,entailment
220,contradiction
221,contradiction
222,entailment
223,entailment
224,entailment
225,contradiction
226,contradiction
227,entailment
228,entailment
229,entailment
230,contradiction
231,neutral
232,entailment
233,entailment
234,contradiction
235,neutral
236,entailment
237,contradiction
238,contradiction
239,contradiction
240,contradiction
241,contradiction
242,contradiction
243,neutral
244,neutral
245,contradiction
246,entailment
247,contradiction
248,entailment
249,contradiction
250,contradiction
251,neutral
252,entailment
253,contradiction
254,entailment
255,contradiction
256,contradiction
257,contradiction
258,contradiction
259,entailment
260,entailment
261,neutral
262,neutral
263,contradiction
264,contradiction
265,entailment
266,entailment
267,contradiction
268,contradiction
269,contradiction
270,neutral
271,contradiction
272,neutral
273,entailment
274,entailment
275,entailment
276,contradiction
277,entailment
278,neutral
279,contradiction
280,neutral
281,entailment
282,entailment
283,contradiction
284,contradiction
285,contradiction
286,entailment
287,contradiction
288,neutral
289,contradiction
290,contradiction
291,contradiction
292,contradiction
293,neutral
294,contradiction
295,entailment
296,contradiction
297,neutral
298,entailment
299,neutral
300,entailment
301,entailment
302,contradiction
303,contradiction
304,neutral
305,entailment
306,contradiction
307,neutral
308,neutral
309,contradiction
310,neutral
311,entailment
312,entailment
313,entailment
314,contradiction
315,neutral
316,contradiction
317,contradiction
318,entailment
319,entailment
320,entailment
321,neutral
322,entailment
323,contradiction
324,contradiction
325,contradiction
326,neutral
327,entailment
328,contradiction
329,contradiction
330,contradiction
331,neutral
332,contradiction
333,contradiction
334,entailment
335,contradiction
336,entailment
337,entailment
338,neutral
339,neutral
340,neutral
341,entailment
342,entailment
343,contradiction
344,contradiction
345,neutral
346,entailment
347,contradiction
348,contradiction
349,neutral
350,entailment
351,neutral
352,neutral
353,contradiction
354,entailment
355,contradiction
356,entailment
357,entailment
358,neutral
359,contradiction
360,contradiction
361,neutral
362,entailment
363,neutral
364,entailment
365,neutral
366,contradiction
367,entailment
368,entailment
369,contradiction
370,neutral
371,contradiction
372,contradiction
373,entailment
374,entailment
375,contradiction
376,contradiction
377,neutral
378,neutral
379,entailment
380,contradiction
381,contradiction
382,entailment
383,entailment
384,entailment
385,neutral
386,entailment
387,entailment
388,neutral
389,entailment
390,neutral
391,contradiction
392,neutral
393,contradiction
394,contradiction
395,neutral
396,entailment
397,contradiction
398,contradiction
399,entailment
400,entailment
401,entailment
402,entailment
403,entailment
404,contradiction
405,neutral
406,neutral
407,neutral
408,entailment
409,contradiction
410,entailment
411,neutral
412,entailment
413,entailment
414,contradiction
415,entailment
416,entailment
