,label,text
0,0,A girl with a guitar and a guy with an umbrella sitting in front of a gate on the sidewalk. A woman sitting with a guitar talking to a man sitting with an umbrella. A man and a woman are chatting while sitting next to a black gate. A man and a woman sitting next to a black fence talking. ||| Guy listens.
1,1,A young couple gaze into each others eyes while riding an escalator in a shopping mart. A man and a woman are on an escalator looking at one another. A man and a woman riding on an escalator making eye contact. A couple going up an escalator. ||| A man stands.
2,0,"A man in a yellow waterproof jacket and his companion are on a boat in the open water. Two men, one in a yellow jacket and the other in a blue sweater, are on a boat. Two dark-haired men are sailing a fishing boat. Fisherman on boat out on sea. ||| Men standing."
3,0,Four individuals are sitting on a railing in front of a white marble building with a window. Four people are sitting on a rail all with their backs facing forward. A group of four people sitting on a stone wall. Four people are sitting on the wall. ||| Three women sitting.
4,1,"A young girl wearing a blue, flowered, spaghetti strap dress is eating marshmallows on a stick while sitting in a bucket of water. A little girl of Asian descent, is sitting in a black bucket eating a marshmallow, with a big smile on her face. A girl is crouched in a bucket eating a popsicle. Enjoying a cold snack on a hot summer day. ||| A child holding a stick."
5,0,"A blond horse and a blond girl in a black sweatshirt are staring at a fire in a barrel. A man, and girl and two horses are near a contained fire. A girl holding a horse's lead behind a fire. Two people and two horses watching a fire. ||| A girl stands."
6,0,Soccer player in white and green dives for the ball as he defends against his opponent in black. A soccer player is sliding as he kicks the ball and a defending player closes in on him. There are two teams aggressively competing in a soccer game. Two soccer teams going at it. ||| A man has a gray beard.
7,2,A person in a black jacket is jumping through the air on a bike. A man is sitting on a bike in the middle of the woods. Man on a motorcycle performing a trick in the air. A person doing a trick on a bike ||| An animal jumps.
8,0,"Two boys watch are watching their own bowling balls roll down their respective lanes, towards the pins at the end of the alley. Two boys release a bowling balls down their respective lanes. Two young boys are bowling with bumper guards. Two boys throw bowling balls down lane. ||| A child checking."
9,2,Two men wearing green medical scrubs are standing in front of a building. Two men in teal scrubs stand in front of a cafe with an open sign. Two white men wearing scrubs stand in front of a small cafe. Two medical professionals in green look on at something. ||| Two children talking.
